 bf0 | 07/08/2024 | 03:11:14 PM EEST | Session Audit #0xff |  | Asserted
 bf1 | 07/08/2024 | 03:13:27 PM EEST | Session Audit #0xff |  | Asserted
 bf2 | 07/08/2024 | 03:13:33 PM EEST | Session Audit #0xff |  | Asserted
 bf3 | 07/08/2024 | 03:16:24 PM EEST | Session Audit #0xff |  | Asserted
 bf4 | 07/08/2024 | 03:18:36 PM EEST | Session Audit #0xff |  | Asserted
 bf5 | 07/08/2024 | 03:20:48 PM EEST | Session Audit #0xff |  | Asserted
 bf6 | 07/08/2024 | 03:22:59 PM EEST | Session Audit #0xff |  | Asserted
 bf7 | 07/08/2024 | 03:25:23 PM EEST | Session Audit #0xff |  | Asserted
 bf8 | 07/08/2024 | 03:27:17 PM EEST | Session Audit #0xff |  | Asserted
 bf9 | 07/08/2024 | 03:29:26 PM EEST | Session Audit #0xff |  | Asserted
 bfa | 07/08/2024 | 03:31:35 PM EEST | Session Audit #0xff |  | Asserted
 bfb | 07/08/2024 | 03:33:47 PM EEST | Session Audit #0xff |  | Asserted
 bfc | 07/08/2024 | 03:37:18 PM EEST | Session Audit #0xff |  | Asserted
